id,profilePicture,userHeadline,aboutSection
26,https://vignette.wikia.nocookie.net/marvelcomicsfanon/images/5/5e/Avengers_Endgame_poster_041_Variant_Textless-1-.jpg/revision/latest?cb=20200705042221,"The truth is… I am Iron Man.","I am a Genius - Billionaire - Playboy and Philanthropist."
27,https://i.pinimg.com/originals/49/5d/77/495d77ed507a3888aec81eb6d5c2a5a7.jpg,"Your Friendly Neighborhood Spider-Man","I am a Web-Slinging Wall-Crawler who enjoys a good joke."
28,https://pngfre.com/wp-content/uploads/hulk-57-1024x1024.png,"The Big Green", "I'm always angry."
29,https://i.pinimg.com/736x/d2/be/ef/d2beefe3fab84a674529cb2517e8847a.jpg, "I can do this all day.", "I am a super soldier who fights for justice."
30,https://static1.colliderimages.com/wordpress/wp-content/uploads/2023/02/guardians-of-the-galaxy-rocket-and-groot.jpg,"Let's Rocket!", "I am a genetically modified raccoon and expert marksman."
31,https://whatsondisneyplus.b-cdn.net/wp-content/uploads/2022/06/doctor-strange-icon.png, "Mr. Doctor.", "I am the Sorcerer Supreme - protector of Earth."
32,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/266c373b-a561-4697-9616-16b3e2272da0/d95qdxz-21f8c4cf-1d9e-4ed1-8f3e-9d8d5956ce17.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTpmaWxlLmRvd25sb2FkIl0sIm9iaiI6W1t7InBhdGgiOiIvZi8yNjZjMzczYi1hNTYxLTQ2OTctOTYxNi0xNmIzZTIyNzJkYTAvZDk1cWR4ei0yMWY4YzRjZi0xZDllLTRlZDEtOGYzZS05ZDhkNTk1NmNlMTcucG5nIn1dXX0.S2tvqYWvHzLiG-FDGqmC7Sia5rhQG0QCkrDmJSx2nYM, "Higher, Further, Faster.", "I am an Air Force pilot turned intergalactic superhero."
33,https://i.pinimg.com/originals/18/e1/22/18e1227f2ff98cd0d555416a6914192a.jpg, "Weapon X", "I am a mutant with retractable claws and accelerated healing."
34,https://yt3.ggpht.com/a-/AN66SAzpeJiZ1MsbiAN96rE70jx71H2UK93xD55e6A=s900-mo-c-c0xffffffff-rj-k-no, "Don't say I didn't warn you.", "I am a snarky demon hunter and occult detective."
35,https://i.pinimg.com/originals/17/3e/fa/173efa1cee38b27b144d8320906330b5.jpg, "I'm always picking up after you boys.", "I am a highly trained spy and assassin."
36,https://img.favpng.com/18/10/4/deadpool-wolverine-colossus-marvel-comics-superhero-png-favpng-sW4ztHESKRxpN85TKs6hz84Cq.jpg, "Maximum effort.", "I am a wisecracking mercenary with accelerated healing."
37,https://images.wallpapersden.com/image/download/thanos-smiling_a2ZrbWWUmZqaraWkpJRmbmdlrWZlbWU.jpg, "I am inevitable.", "I am a Titan seeking to bring balance to the universe."
38,https://i.pinimg.com/originals/f1/4e/eb/f14eeb2b239981ddcd6f0817091fb81d.jpg, "The spy we need.", "I am the director of S.H.I.E.L.D."
39,https://i.pinimg.com/originals/f1/bd/4a/f1bd4a58aa56de9fc98f8288e57e9e96.jpg, "I am a god amongst insects.", "I am a mutant with the ability to control magnetic fields."
40,https://i.pinimg.com/originals/b8/88/9d/b8889d5ded906ec3b4a74ef6fc2839a9.png, "Wakanda Forever.", "I am the king of Wakanda and protector of the nation."
41,https://s3.us-east-1.amazonaws.com/i.frg.im/rFFId0U/1263815327788-0.jpg, "I am Groot.", "I am Groot"
42,https://i.stack.imgur.com/G9urw.png,"I'm Star-Lord, man. Legendary outlaw.","I'm a half-human - half-celestial being who leads the Guardians of the Galaxy on their adventures through space."
43,https://i.stack.imgur.com/kX5lGx1.jpg,"I have a vision.","I am an android created by Ultron to destroy the Avengers - but I turned against him and became an Avenger myself."
44,https://i.imgur.com/Yv4i7Pr.jpg,"Hail Hydra.","I am the leader of Hydra and seek to conquer the world with my army of loyal followers."
45,https://i.stack.imgur.com/mH4qm.png,"I am Phoenix!","I am one of the most powerful mutants in existence - hosting the Phoenix Force - and I fight to protect both mutants and humans."
46,https://i.imgur.com/N7XrN.png,"I'm Pepper Potts, CEO of Stark Industries.","I am a successful businesswoman - philanthropist - and occasional superhero known as Rescue - helping to save lives with advanced technology."
47,https://i.stack.imgur.com/qMkqz.png,"I'm Rhodey, but you can call me War Machine.","I am a skilled pilot and military officer who fights alongside Iron Man as War Machine to protect the world from threats."
48,https://i.stack.imgur.com/XqOK3.png,"I am the deadliest woman in the galaxy.","I am a highly trained assassin and a member of the Guardians of the Galaxy - seeking redemption for my past crimes."
49,https://i.stack.imgur.com/JFbV6.png,"I'm Jessica Jones. You can hire me if you need help.","I am a private investigator with superhuman strength and resilience - using my abilities to solve cases and protect the innocent."
50,https://i.stack.imgur.com/dyG9P.png,"I am the Devil of Hell's Kitchen.","I am a blind lawyer by day and a vigilante crime-fighter by night - using my heightened senses to seek justice in New York City."
